País,Total,Aérea,Marítima,Região,Continente,Ano,viagens_country,indicators_country,CountryID,Country,Year,AMA exchange rate,IMF based exchange rate,Population,Currency,Per capita GNI,"Agric, hunt, forest, fish (ISIC A-B)",Changes in inventories,Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General gov final consumption expenditure,Gross capital formation,Gross fixed capital formation,Household consumption,Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and comms (ISIC I)","Wholesale, retail, restaurants, hotels",GNI (USD),Gross Domestic Product (GDP),travels_per_capita,travels_per_1000_people
Chile,16240,16005,235,América do Sul,América,2006,Chile,Chile,152.0,Chile,2006,530.275,530.275,16334575.0,Chilean Peso,8327.0,6001301212.0,1484016237.0,7689783603.0,67789580749.0,100000000000.0,15363192044.0,32220393580.0,30736377343.0,84773235851.0,45358377418.0,19948517279.0,55938918486.0,46493478693.0,143000000000.0,12992466173.0,13589015134.0,136000000000.0,155000000000.0,0.0009942101340255256,0.9942101340255256
Colombia,3207,3163,44,América do Sul,América,2006,Colombia,Colombia,170.0,Colombia,2006,2361.139408,2361.139408,42772910.0,Colombian Peso,3678.0,11615154918.0,575569573.0,7443440207.0,28652691910.0,131000000000.0,22433660559.0,37073626285.0,36498056712.0,109000000000.0,35415104985.0,25824396394.0,42518455150.0,52612310652.0,146000000000.0,13541343598.0,18713422791.0,157000000000.0,162000000000.0,7.497736300850234e-05,0.07497736300850234
Equador,1597,1588,9,América do Sul,América,2006,Equador,Ecuador,218.0,Ecuador,2006,1.0,1.0,14009061.0,US Dollar,3185.0,4403200000.0,751940000.0,3638976000.0,14196499000.0,35842793000.0,4961903000.0,10511652000.0,9759712000.0,30880890000.0,13748900000.0,6386841000.0,12220696000.0,13982845000.0,44497146000.0,4402807000.0,5848622000.0,44613746274.0,46802044000.0,0.00011399764766532175,0.11399764766532175
Guiana Francesa,13,0,13,América do Sul,América,2006,Guiana Francesa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraguai,977,960,17,América do Sul,América,2006,Paraguai,Paraguay,600.0,Paraguay,2006,5635.4625,5635.4625,5534675.0,Guarani,2279.0,1535743199.0,500997039.0,531441722.0,6193828557.0,9600504396.0,1120466736.0,3193056799.0,2692059760.0,8480037660.0,5139962036.0,2994839146.0,5305558125.0,3106747028.0,13570091565.0,1085630200.0,2004971291.0,12616274235.0,13780604183.0,0.0001765234634373292,0.1765234634373292
Peru,3072,2956,116,América do Sul,América,2006,Peru,Peru,604.0,Peru,2006,3.274032503,3.274032503,28381078.0,Nuevo Sol,2857.0,5854553974.0,1653007414.0,4267214815.0,27073341492.0,63001818043.0,9678584429.0,17421940666.0,15768933252.0,53323233614.0,18838542363.0,14604008959.0,28942290562.0,24059932189.0,81103348786.0,6209162549.0,11770194697.0,81095673923.0,88658557838.0,0.00010824113164411866,0.10824113164411865
Republica da Guiana,2,2,0,América do Sul,América,2006,Republica da Guiana,Guyana,328.0,Guyana,2006,200.1883333,200.1883333,758367.0,Guyana Dollar,3044.0,809144472.0,,207747404.0,1253693066.0,2294065357.0,360961482.0,675054610.0,675054610.0,1933103874.0,1889624859.0,161581531.0,317518386.0,637784908.0,2292672990.0,149498136.0,170979683.0,2308153810.0,2379817987.0,2.6372455552522724e-06,0.0026372455552522724
Suriname,2,2,0,América do Sul,América,2006,Suriname,Suriname,740.0,Suriname,2006,2.74375,2.74375,522023.0,Surinam Dollar,4930.0,267517084.0,56127563.0,127554260.0,1385330296.0,1378769932.0,332756264.0,1055125285.0,998997722.0,1046013667.0,1192892938.0,609354351.0,845955353.0,502315080.0,2423948246.0,183325740.0,497280729.0,2573830706.0,2626451025.0,3.831248814707398e-06,0.003831248814707398
Uruguai,5469,5035,434,América do Sul,América,2006,Uruguai,Uruguay,858.0,Uruguay,2006,24.07335833,24.07335833,3322282.0,Peso Uruguayo,5762.0,1745286196.0,239559430.0,1175448793.0,5932117905.0,16038726074.0,2209579539.0,3810270205.0,3570710775.0,13829146536.0,6201627456.0,2847504659.0,3307527720.0,7042777303.0,17348078149.0,1593421220.0,2483616917.0,19142821438.0,19579486729.0,0.0016461576711429072,1.6461576711429071
Venezuela,3909,3871,38,América do Sul,América,2006,Venezuela,Venezuela (Bolivarian Republic of),862.0,Venezuela (Bolivarian Republic of),2006,2.15e-11,2.15e-11,27102081.0,Bolivar Digital,6733.0,6709361900.0,8416394970.0,13851886353.0,67003260363.0,108000000000.0,21486259898.0,49395435491.0,40978574755.0,86226362366.0,40634839311.0,25519329297.0,81423847229.0,39591523055.0,172000000000.0,11041918957.0,19277596646.0,182000000000.0,183000000000.0,0.00014423246687219333,0.14423246687219332
China,6886,6833,53,Ásia,Ásia,2006,China,China,156.0,China,2006,7.973438333,7.973438333,1313086567.0,Yuan Renminbi,2092.0,302000000000.0,32608266237.0,156000000000.0,992000000000.0,1450000000000.0,408000000000.0,1100000000000.0,1070000000000.0,1040000000000.0,783000000000.0,893000000000.0,1150000000000.0,619000000000.0,2710000000000.0,224000000000.0,267000000000.0,2750000000000.0,2750000000000.0,5.244132544690026e-06,0.005244132544690026
Japao,4586,4425,161,Ásia,Ásia,2006,Japao,Japan,392.0,Japan,2006,116.2993117,116.2993117,127902167.0,Yen,36939.0,49812848563.0,1512476708.0,247000000000.0,721000000000.0,3340000000000.0,810000000000.0,1200000000000.0,1200000000000.0,2530000000000.0,661000000000.0,985000000000.0,1120000000000.0,1980000000000.0,4610000000000.0,473000000000.0,748000000000.0,4720000000000.0,4600000000000.0,3.585553010997851e-05,0.03585553010997851
Republica da Coreia,2281,2106,175,Ásia,Ásia,2006,Republica da Coreia,Republic of Korea,410.0,Republic of Korea,2006,954.7905158,954.7905158,48049347.0,Won,21855.0,26303780341.0,26329126215.0,60796582117.0,375000000000.0,699000000000.0,141000000000.0,347000000000.0,321000000000.0,559000000000.0,369000000000.0,267000000000.0,292000000000.0,382000000000.0,955000000000.0,90273519239.0,104000000000.0,1050000000000.0,1050000000000.0,4.747202912039575e-05,0.04747202912039575
Outros,7647,4761,2886,Ásia,Ásia,2006,Outros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alemanha,53689,51520,2169,Europa,Europa,2006,Alemanha,Germany,276.0,Germany,2006,0.797140833,0.797140833,81177817.0,Euro,37481.0,22068873233.0,19169761930.0,104000000000.0,1240000000000.0,2210000000000.0,548000000000.0,615000000000.0,596000000000.0,1670000000000.0,1080000000000.0,618000000000.0,703000000000.0,1310000000000.0,2710000000000.0,251000000000.0,317000000000.0,3040000000000.0,2990000000000.0,0.0006613752621605974,0.6613752621605975
Austria,3142,2839,303,Europa,Europa,2006,Austria,Austria,40.0,Austria,2006,0.797140833,0.797140833,8267763.0,Euro,40732.0,4378473482.0,3483625332.0,20240877553.0,171000000000.0,243000000000.0,64704262839.0,79326296378.0,75842671046.0,179000000000.0,159000000000.0,59883420851.0,71345535973.0,125000000000.0,300000000000.0,27337879442.0,51529376344.0,337000000000.0,336000000000.0,0.00038003024518240303,0.380030245182403
Belgica,8199,8070,129,Europa,Europa,2006,Belgica,Belgium,56.0,Belgium,2006,0.797140833,0.797140833,10582975.0,Euro,39097.0,3700726241.0,6598081268.0,19264349984.0,313000000000.0,294000000000.0,89487700312.0,97775194471.0,91177113204.0,204000000000.0,297000000000.0,61260191371.0,71043782519.0,178000000000.0,364000000000.0,37185022722.0,54298937139.0,414000000000.0,408000000000.0,0.0007747348925987257,0.7747348925987257
Dinamarca,6660,6360,300,Europa,Europa,2006,Dinamarca,Denmark,208.0,Denmark,2006,5.946778333,5.946778333,5457864.0,Danish Krone,52459.0,3296238552.0,2453273888.0,13922328252.0,144000000000.0,203000000000.0,68468416372.0,68736461171.0,66283187283.0,134000000000.0,132000000000.0,34133271601.0,50630943870.0,114000000000.0,240000000000.0,24422131087.0,34044484030.0,286000000000.0,283000000000.0,0.0012202575952790322,1.2202575952790322
Espanha,31736,31241,495,Europa,Europa,2006,Espanha,Spain,724.0,Spain,2006,0.797140833,0.797140833,44422831.0,Euro,27823.0,30369790365.0,4575101221.0,137000000000.0,318000000000.0,946000000000.0,219000000000.0,385000000000.0,380000000000.0,727000000000.0,390000000000.0,168000000000.0,203000000000.0,458000000000.0,1130000000000.0,95060994032.0,203000000000.0,1240000000000.0,1260000000000.0,0.0007144074181134471,0.7144074181134471
Finlandia,4286,4272,14,Europa,Europa,2006,Finlandia,Finland,246.0,Finland,2006,0.797140833,0.797140833,5266251.0,Euro,41561.0,4340512812.0,2590508369.0,12424404303.0,93426402068.0,154000000000.0,46244024216.0,51964468846.0,49456756387.0,108000000000.0,84392866589.0,47306571716.0,53167518496.0,79440165843.0,189000000000.0,19063130835.0,20687686931.0,219000000000.0,217000000000.0,0.0008138617016165769,0.8138617016165769
Franca,82910,82249,661,Europa,Europa,2006,Franca,France,250.0,France,2006,0.797140833,0.797140833,62959772.0,Euro,37561.0,35205824149.0,18246462095.0,119000000000.0,648000000000.0,1790000000000.0,528000000000.0,539000000000.0,521000000000.0,1260000000000.0,653000000000.0,272000000000.0,328000000000.0,1110000000000.0,2080000000000.0,204000000000.0,277000000000.0,2360000000000.0,2320000000000.0,0.0013168726214573966,1.3168726214573965
Grecia,4710,3645,1065,Europa,Europa,2006,Grecia,Greece,300.0,Greece,2006,0.797140833,0.797140833,11106093.0,Euro,24152.0,8749103933.0,6556338330.0,22688332154.0,57869357673.0,231000000000.0,55085687703.0,71474124292.0,64917785962.0,175000000000.0,86572319613.0,23116632883.0,31937548467.0,109000000000.0,242000000000.0,27815979401.0,41617354943.0,268000000000.0,273000000000.0,0.00042409153245880435,0.4240915324588043
